epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8173.82,1.10978,3.35895,1.46418,0.65432,0.68595,0.68803,0.43608,1.07366,1.40669,1.49028,0.0019878,0.000662602,0.0019878,0.000662602,0.0019878,0.000662602,0.0019878,0.000662602
2,13104.2,0.71057,0.82455,1.12686,0.73974,0.75207,0.79748,0.57039,0.90107,0.93501,1.36731,0.00359301,0.00119767,0.00359301,0.00119767,0.00359301,0.00119767,0.00359301,0.00119767
3,17229,0.59202,0.55003,1.04601,0.85297,0.75413,0.83745,0.61449,0.89264,0.87414,1.37491,0.00480222,0.00160074,0.00480222,0.00160074,0.00480222,0.00160074,0.00480222,0.00160074
4,28095.5,0.53345,0.45101,0.9973,0.81074,0.76999,0.82611,0.61812,0.85799,0.92938,1.39051,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,31971,0.48447,0.38519,0.96345,0.83285,0.76033,0.82486,0.62608,0.89167,0.82041,1.40326,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,35869.8,0.44314,0.32825,0.93183,0.89185,0.75,0.86087,0.67069,0.8614,0.73474,1.38688,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,39839.1,0.4041,0.29415,0.91061,0.83609,0.82438,0.87458,0.67372,0.8494,0.69627,1.35666,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,43712.2,0.37088,0.26076,0.89606,0.83489,0.82534,0.88748,0.69369,0.81723,0.69439,1.32917,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,47578.9,0.34523,0.24664,0.88408,0.81355,0.84711,0.89264,0.71108,0.79534,0.69474,1.32801,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,51441.1,0.317,0.22124,0.86719,0.85442,0.81245,0.88811,0.7058,0.80345,0.71083,1.33864,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
